Kommun_code,Year,Kommun_name,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
1785,2010,S�ffle,274,159,15547,1094,0.07036727,86.3629,28.232618,0,0
1814,2010,Lekeberg,80,41,7134,625,0.08760863,97.78672,8.2431,0,0
1860,2010,Lax�,32,38,5686,271,0.04766092,42.20269,3.29724,0,0
1861,2010,Hallsberg,102,43,15275,1006,0.06585925,118.87909,10.509953,1,0
1862,2010,Degerfors,56,27,9641,483,0.05009854,103.94367,5.77017,0,0
1863,2010,H�llefors,52,33,7220,368,0.05096953,78.97019,5.358015,0,0
1864,2010,Ljusnarsberg,51,24,4931,266,0.05394443,106.49585,5.254976,0,0
1880,2010,�rebro,6228,2995,135460,19516,0.14407205,104.21387,641.725346,0,0
1881,2010,Kumla,152,98,20456,1598,0.07811889,77.73047,15.66189,0,0
1882,2010,Askersund,126,65,11278,809,0.07173258,97.14735,12.982883,0,0
